time/total_timesteps,train/loss,train/explained_variance,train/n_updates,train/dsc_loss_mean,train/pos_dsc_loss_mean,train/neg_dsc_loss_mean,train/key_loss_mean,train/door_loss_mean,train/pos_loss_mean,train/key_dist_mean,train/door_dist_mean,train/goal_dist_mean,train/n_valid_samples_mean,train/n_valid_pos_samples_mean,train/n_valid_neg_samples_mean,train/policy_loss_mean,train/value_loss_mean,train/entropy_loss_mean,train/adv_mean,train/adv_std_mean,train/clip_fraction_mean,train/approx_kl_div_mean,
532480,0.33678263425827026,0.39704906940460205,260,0.010192649975579116,0.00637060533517797,0.01401469446500414,0.0,0.0,0.0,0.0,0.0,0.0,972.09375,486.0625,486.03125,0.3651258086320013,0.008007679592992645,-0.13698843703605235,-0.35420189425349236,1.5540732219815254,0.08819580078125,0.06120198592543602,
540672,-0.11162829399108887,0.3934794068336487,264,0.010093616338053835,0.005753969078796217,0.014433263601858926,0.0,0.0,0.0,0.0,0.0,0.0,970.96875,485.5,485.46875,-0.08138406529906206,0.005127968659508042,-0.1472104504937306,0.07789662769937422,1.1345278667286038,0.082427978515625,0.024231858551502228,
548864,-0.2213434875011444,0.49571096897125244,268,0.008890457849702216,0.004833829669223633,0.012947085945597792,0.0,0.0,0.0,0.0,0.0,0.0,969.375,484.6875,484.6875,-0.22365623246878386,0.0019929074314859463,-0.10128815833013505,0.22076198901049793,0.7163824113085866,0.05584716796875,0.015941135585308075,
557056,-0.09325936436653137,0.6718738675117493,272,0.007707347105679219,0.0039002304274617927,0.011514463679532128,0.0,0.0,0.0,0.0,0.0,0.0,967.234375,483.625,483.609375,-0.09108769003069028,0.0013134247474226868,-0.08718433638568968,0.08972002536756918,0.5246742404997349,0.037628173828125,0.011516839265823364,
565248,-0.024628251791000366,0.6739593744277954,276,0.009063506453458103,0.0045168090637162095,0.013610203903681395,0.0,0.0,0.0,0.0,0.0,0.0,967.125,483.5625,483.5625,-0.03877596247912152,0.0010944806472252822,-0.07800794875947759,0.03750571626369492,0.5078957267105579,0.03741455078125,0.014301450923085213,
573440,0.0423181913793087,0.7078432440757751,280,0.009275676355173346,0.00476812834131124,0.013783224460667043,0.0,0.0,0.0,0.0,0.0,0.0,967.109375,483.5625,483.546875,0.026992562365194317,0.0010800575946632307,-0.06922356219729409,-0.02814567261884804,0.49931605998426676,0.02874755859375,0.010299949906766415,
581632,-0.034597888588905334,0.6901774108409882,284,0.007978498129887157,0.004505556013100431,0.011451440203927632,0.0,0.0,0.0,0.0,0.0,0.0,966.859375,483.4375,483.421875,-0.039548281965835486,0.0010792530156322755,-0.06593372614588588,0.03784861377062043,0.5398862631991506,0.028228759765625,0.007673461921513081,
589824,-0.035213079303503036,0.6940516531467438,288,0.008260960234110826,0.004375355882075382,0.012146564557951933,0.0,0.0,0.0,0.0,0.0,0.0,967.609375,483.8125,483.796875,0.01632912406421383,0.0010856771059479797,-0.062330121640115976,-0.01655909130568034,0.5565391769632697,0.036224365234375,0.014164438471198082,
598016,0.6573917269706726,0.12710320949554443,292,0.011818318111181725,0.007380104820185807,0.016256531482213177,0.0,0.0,0.0,0.0,0.0,0.0,976.234375,488.125,488.109375,0.6336136623285711,0.009335079907032195,-0.11059577693231404,-0.6719587561674416,1.769923236221075,0.14886474609375,0.4223174452781677,
606208,-0.06382840871810913,0.34924381971359253,296,0.010412515115604037,0.005658134916302515,0.015166895354013832,0.0,0.0,0.0,0.0,0.0,0.0,970.71875,485.375,485.34375,-0.08360693755093962,0.004815884520212421,-0.10904202272649854,0.07258024060865864,1.1568384151905775,0.095977783203125,0.050077199935913086,
