#{"t_start": 1746566952.03899, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.964844,25,807.966854
0.974688,18,808.180479
0.978906,15,808.305289
0.971875,20,808.540156
0.967656,23,808.812307
0.971875,20,809.092922
0.973281,19,809.283295
0.969063,22,809.587674
0.976094,17,809.791315
0.96625,24,825.173025
0.967656,23,825.389921
0.967656,23,825.588079
0.962031,27,825.861684
0.969063,22,826.173978
0.971875,20,826.363278
0.976094,17,826.522407
0.980313,14,826.636942
0.984531,11,826.741997
0.974688,18,826.933357
0.976094,17,827.109117
0.9775,16,827.248291
0.976094,17,827.425329
0.953594,33,827.764737
0.970469,21,827.971376
0.983125,12,828.111621
0.978906,15,828.271667
0.964844,25,828.567218
0.974688,18,828.749243
0.967656,23,829.006027
0.959219,29,829.276757
0.964844,25,829.513654
0.956406,31,829.817231
0.973281,19,830.027085
0.974688,18,845.557872
0.976094,17,845.706188
0.96625,24,845.910254
0.957812,30,846.180462
0.973281,19,846.354153
0.960625,28,846.619073
0.983125,12,846.796208
0.967656,23,847.066133
0.978906,15,847.231554
0.956406,31,847.535777
0.971875,20,847.718853
0.960625,28,847.957574
0.962031,27,848.185745
0.969063,22,848.359099
0.862187,98,849.212127
0.980313,14,849.330428
0.981719,13,849.444548
0.970469,21,849.62412
0.967656,23,849.840519
0.971875,20,850.012671
0.971875,20,850.185731
0.964844,25,865.42458
0.957812,30,865.722268
0.950781,35,866.13854
0.974688,18,866.356986
0.980313,14,866.519829
0.967656,23,866.761921
0.947969,37,867.215352
0.969063,22,867.518028
0.960625,28,867.820856
0.974688,18,868.026514
0.970469,21,868.275077
0.969063,22,868.53187
0.9775,16,868.701297
0.974688,18,868.912556
0.962031,27,869.181825
0.969063,22,869.421289
0.976094,17,869.603422
0.964844,25,869.867715
0.970469,21,870.133604
0.874844,89,885.21173
0.96625,24,885.453963
0.936719,45,885.893525
0.971875,20,886.070781
0.950781,35,886.403879
0.9775,16,886.547469
0.980313,14,886.6915
0.973281,19,886.871051
0.928281,51,887.368963
0.967656,23,887.603109
0.962031,27,887.856668
0.9775,16,888.023836
0.969063,22,888.227707
0.964844,25,888.438942
0.971875,20,888.624179
0.962031,27,888.89853
0.969063,22,889.121176
0.978906,15,889.260185
0.976094,17,889.453117
0.935312,46,889.940467
0.974688,18,906.949894
0.967656,23,907.249335
0.970469,21,907.552668
0.978906,15,907.786079
0.974688,18,908.084287
0.964844,25,908.413563
0.981719,13,908.551278
0.973281,19,908.756868
0.976094,17,908.949255
0.946562,38,909.3367
0.96625,24,909.575491
0.970469,21,909.800233
0.974688,18,910.003927
0.952187,34,910.4035
0.964844,25,910.736252
0.963437,26,910.980564
0.978906,15,911.143509
0.970469,21,911.333379
0.964844,25,911.601144
0.964844,25,911.881039
0.964844,25,912.178952
